Eyes,Nose,Mouth,File Name,Encoded
,Larger nostrils,Fuller lips - closed,,TGFyZ2VyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
,Larger nostrils,Thinner lips - open,,TGFyZ2VyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
,Larger nostrils,Thinner lips - closed,,TGFyZ2VyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
,Larger nostrils,Smiling - open,,TGFyZ2VyIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
,Larger nostrils,Smiling - closed,,TGFyZ2VyIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
,Larger nostrils,Mouth open with teeth visible,,TGFyZ2VyIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
,Smaller nostrils,,,U21hbGxlciBub3N0cmlscw==
,Smaller nostrils,Larger mouth - open,,U21hbGxlciBub3N0cmlsc0xhcmdlciBtb3V0aCAtIG9wZW4=
,Smaller nostrils,Larger mouth - closed,,U21hbGxlciBub3N0cmlsc0xhcmdlciBtb3V0aCAtIGNsb3NlZA==
,Smaller nostrils,Fuller lips - open,,U21hbGxlciBub3N0cmlsc0Z1bGxlciBsaXBzIC0gb3Blbg==
,Smaller nostrils,Fuller lips - closed,,U21hbGxlciBub3N0cmlsc0Z1bGxlciBsaXBzIC0gY2xvc2Vk
,Smaller nostrils,Thinner lips - open,,U21hbGxlciBub3N0cmlsc1RoaW5uZXIgbGlwcyAtIG9wZW4=
,Smaller nostrils,Thinner lips - closed,,U21hbGxlciBub3N0cmlsc1RoaW5uZXIgbGlwcyAtIGNsb3NlZA==
,Smaller nostrils,Smiling - open,,U21hbGxlciBub3N0cmlsc1NtaWxpbmcgLSBvcGVu
,Smaller nostrils,Smiling - closed,,U21hbGxlciBub3N0cmlsc1NtaWxpbmcgLSBjbG9zZWQ=
,Smaller nostrils,Mouth open with teeth visible,,U21hbGxlciBub3N0cmlsc01vdXRoIG9wZW4gd2l0aCB0ZWV0aCB2aXNpYmxl
,Wider bridge,,,V2lkZXIgYnJpZGdl
,Wider bridge,Larger mouth - open,,V2lkZXIgYnJpZGdlTGFyZ2VyIG1vdXRoIC0gb3Blbg==
,Wider bridge,Larger mouth - closed,,V2lkZXIgYnJpZGdlTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
,Wider bridge,Fuller lips - open,,V2lkZXIgYnJpZGdlRnVsbGVyIGxpcHMgLSBvcGVu
,Wider bridge,Fuller lips - closed,,V2lkZXIgYnJpZGdlRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
,Wider bridge,Thinner lips - open,,V2lkZXIgYnJpZGdlVGhpbm5lciBsaXBzIC0gb3Blbg==
,Wider bridge,Thinner lips - closed,,V2lkZXIgYnJpZGdlVGhpbm5lciBsaXBzIC0gY2xvc2Vk
,Wider bridge,Smiling - open,,V2lkZXIgYnJpZGdlU21pbGluZyAtIG9wZW4=
,Wider bridge,Smiling - closed,,V2lkZXIgYnJpZGdlU21pbGluZyAtIGNsb3NlZA==
,Wider bridge,Mouth open with teeth visible,,V2lkZXIgYnJpZGdlTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
,Narrower bridge,,,TmFycm93ZXIgYnJpZGdl
,Narrower bridge,Larger mouth - open,,TmFycm93ZXIgYnJpZGdlTGFyZ2VyIG1vdXRoIC0gb3Blbg==
,Narrower bridge,Larger mouth - closed,,TmFycm93ZXIgYnJpZGdlTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
,Narrower bridge,Fuller lips - open,,TmFycm93ZXIgYnJpZGdlRnVsbGVyIGxpcHMgLSBvcGVu
,Narrower bridge,Fuller lips - closed,,TmFycm93ZXIgYnJpZGdlRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
,Narrower bridge,Thinner lips - open,,TmFycm93ZXIgYnJpZGdlVGhpbm5lciBsaXBzIC0gb3Blbg==
,Narrower bridge,Thinner lips - closed,,TmFycm93ZXIgYnJpZGdlVGhpbm5lciBsaXBzIC0gY2xvc2Vk
,Narrower bridge,Smiling - open,,TmFycm93ZXIgYnJpZGdlU21pbGluZyAtIG9wZW4=
,Narrower bridge,Smiling - closed,,TmFycm93ZXIgYnJpZGdlU21pbGluZyAtIGNsb3NlZA==
,Narrower bridge,Mouth open with teeth visible,,TmFycm93ZXIgYnJpZGdlTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
,Broader/wider,,,QnJvYWRlci93aWRlcg==
,Broader/wider,Larger mouth - open,,QnJvYWRlci93aWRlckxhcmdlciBtb3V0aCAtIG9wZW4=
,Broader/wider,Larger mouth - closed,,QnJvYWRlci93aWRlckxhcmdlciBtb3V0aCAtIGNsb3NlZA==
,Broader/wider,Fuller lips - open,,QnJvYWRlci93aWRlckZ1bGxlciBsaXBzIC0gb3Blbg==
,Broader/wider,Fuller lips - closed,,QnJvYWRlci93aWRlckZ1bGxlciBsaXBzIC0gY2xvc2Vk
,Broader/wider,Thinner lips - open,,QnJvYWRlci93aWRlclRoaW5uZXIgbGlwcyAtIG9wZW4=
,Broader/wider,Thinner lips - closed,,QnJvYWRlci93aWRlclRoaW5uZXIgbGlwcyAtIGNsb3NlZA==
,Broader/wider,Smiling - open,,QnJvYWRlci93aWRlclNtaWxpbmcgLSBvcGVu
,Broader/wider,Smiling - closed,,QnJvYWRlci93aWRlclNtaWxpbmcgLSBjbG9zZWQ=
,Broader/wider,Mouth open with teeth visible,,QnJvYWRlci93aWRlck1vdXRoIG9wZW4gd2l0aCB0ZWV0aCB2aXNpYmxl
,No visible nostrils,,,Tm8gdmlzaWJsZSBub3N0cmlscw==
,No visible nostrils,Larger mouth - open,,Tm8gdmlzaWJsZSBub3N0cmlsc0xhcmdlciBtb3V0aCAtIG9wZW4=
,No visible nostrils,Larger mouth - closed,,Tm8gdmlzaWJsZSBub3N0cmlsc0xhcmdlciBtb3V0aCAtIGNsb3NlZA==
,No visible nostrils,Fuller lips - open,,Tm8gdmlzaWJsZSBub3N0cmlsc0Z1bGxlciBsaXBzIC0gb3Blbg==
,No visible nostrils,Fuller lips - closed,,Tm8gdmlzaWJsZSBub3N0cmlsc0Z1bGxlciBsaXBzIC0gY2xvc2Vk
,No visible nostrils,Thinner lips - open,,Tm8gdmlzaWJsZSBub3N0cmlsc1RoaW5uZXIgbGlwcyAtIG9wZW4=
,No visible nostrils,Thinner lips - closed,,Tm8gdmlzaWJsZSBub3N0cmlsc1RoaW5uZXIgbGlwcyAtIGNsb3NlZA==
,No visible nostrils,Smiling - open,,Tm8gdmlzaWJsZSBub3N0cmlsc1NtaWxpbmcgLSBvcGVu
,No visible nostrils,Smiling - closed,,Tm8gdmlzaWJsZSBub3N0cmlsc1NtaWxpbmcgLSBjbG9zZWQ=
,No visible nostrils,Mouth open with teeth visible,,Tm8gdmlzaWJsZSBub3N0cmlsc01vdXRoIG9wZW4gd2l0aCB0ZWV0aCB2aXNpYmxl
,Nostrils upturned (allowing the users to see into the nostrils a bit),,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQp
,Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - open,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpTGFyZ2VyIG1vdXRoIC0gb3Blbg==
,Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - closed,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
,Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - open,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpRnVsbGVyIGxpcHMgLSBvcGVu
,Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - closed,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
,Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - open,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpVGhpbm5lciBsaXBzIC0gb3Blbg==
,Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - closed,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpVGhpbm5lciBsaXBzIC0gY2xvc2Vk
,Nostrils upturned (allowing the users to see into the nostrils a bit),Smiling - open,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpU21pbGluZyAtIG9wZW4=
,Nostrils upturned (allowing the users to see into the nostrils a bit),Smiling - closed,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpU21pbGluZyAtIGNsb3NlZA==
,Nostrils upturned (allowing the users to see into the nostrils a bit),Mouth open with teeth visible,,Tm9zdHJpbHMgdXB0dXJuZWQgKGFsbG93aW5nIHRoZSB1c2VycyB0byBzZWUgaW50byB0aGUgbm9zdHJpbHMgYSBiaXQpTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes closed,,,,RXllcyBjbG9zZWQ=
Eyes closed,,Larger mouth - open,,RXllcyBjbG9zZWRMYXJnZXIgbW91dGggLSBvcGVu
Eyes closed,,Larger mouth - closed,,RXllcyBjbG9zZWRMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes closed,,Fuller lips - open,,RXllcyBjbG9zZWRGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes closed,,Fuller lips - closed,,RXllcyBjbG9zZWRGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,,Thinner lips - open,,RXllcyBjbG9zZWRUaGlubmVyIGxpcHMgLSBvcGVu
Eyes closed,,Thinner lips - closed,,RXllcyBjbG9zZWRUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,,Smiling - open,,RXllcyBjbG9zZWRTbWlsaW5nIC0gb3Blbg==
Eyes closed,,Smiling - closed,,RXllcyBjbG9zZWRTbWlsaW5nIC0gY2xvc2Vk
Eyes closed,,Mouth open with teeth visible,,RXllcyBjbG9zZWRNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes closed,Larger nose,,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZQ==
Eyes closed,Larger nose,Larger mouth - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZUxhcmdlciBtb3V0aCAtIG9wZW4=
Eyes closed,Larger nose,Larger mouth - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZUxhcmdlciBtb3V0aCAtIGNsb3NlZA==
Eyes closed,Larger nose,Fuller lips - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZUZ1bGxlciBsaXBzIC0gb3Blbg==
Eyes closed,Larger nose,Fuller lips - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZUZ1bGxlciBsaXBzIC0gY2xvc2Vk
Eyes closed,Larger nose,Thinner lips - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZVRoaW5uZXIgbGlwcyAtIG9wZW4=
Eyes closed,Larger nose,Thinner lips - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZVRoaW5uZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,Larger nose,Smiling - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZVNtaWxpbmcgLSBvcGVu
Eyes closed,Larger nose,Smiling - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZVNtaWxpbmcgLSBjbG9zZWQ=
Eyes closed,Larger nose,Mouth open with teeth visible,,RXllcyBjbG9zZWRMYXJnZXIgbm9zZU1vdXRoIG9wZW4gd2l0aCB0ZWV0aCB2aXNpYmxl
Eyes closed,Smaller nose,,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2U=
Eyes closed,Smaller nose,Larger mouth - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes closed,Smaller nose,Larger mouth - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes closed,Smaller nose,Fuller lips - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes closed,Smaller nose,Fuller lips - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,Smaller nose,Thinner lips - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes closed,Smaller nose,Thinner lips - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Smaller nose,Smiling - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VTbWlsaW5nIC0gb3Blbg==
Eyes closed,Smaller nose,Smiling - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VTbWlsaW5nIC0gY2xvc2Vk
Eyes closed,Smaller nose,Mouth open with teeth visible,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes closed,Larger nostrils,,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHM=
Eyes closed,Larger nostrils,Larger mouth - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNMYXJnZXIgbW91dGggLSBvcGVu
Eyes closed,Larger nostrils,Larger mouth - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes closed,Larger nostrils,Fuller lips - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes closed,Larger nostrils,Fuller lips - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,Larger nostrils,Thinner lips - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNUaGlubmVyIGxpcHMgLSBvcGVu
Eyes closed,Larger nostrils,Thinner lips - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Larger nostrils,Smiling - open,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNTbWlsaW5nIC0gb3Blbg==
Eyes closed,Larger nostrils,Smiling - closed,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNTbWlsaW5nIC0gY2xvc2Vk
Eyes closed,Larger nostrils,Mouth open with teeth visible,,RXllcyBjbG9zZWRMYXJnZXIgbm9zdHJpbHNNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes closed,Smaller nostrils,,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxz
Eyes closed,Smaller nostrils,Larger mouth - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes closed,Smaller nostrils,Larger mouth - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes closed,Smaller nostrils,Fuller lips - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
Eyes closed,Smaller nostrils,Fuller lips - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Smaller nostrils,Thinner lips - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes closed,Smaller nostrils,Thinner lips - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes closed,Smaller nostrils,Smiling - open,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
Eyes closed,Smaller nostrils,Smiling - closed,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
Eyes closed,Smaller nostrils,Mouth open with teeth visible,,RXllcyBjbG9zZWRTbWFsbGVyIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes closed,Wider bridge,,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2U=
Eyes closed,Wider bridge,Larger mouth - open,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes closed,Wider bridge,Larger mouth - closed,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes closed,Wider bridge,Fuller lips - open,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes closed,Wider bridge,Fuller lips - closed,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,Wider bridge,Thinner lips - open,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes closed,Wider bridge,Thinner lips - closed,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Wider bridge,Smiling - open,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VTbWlsaW5nIC0gb3Blbg==
Eyes closed,Wider bridge,Smiling - closed,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VTbWlsaW5nIC0gY2xvc2Vk
Eyes closed,Wider bridge,Mouth open with teeth visible,,RXllcyBjbG9zZWRXaWRlciBicmlkZ2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes closed,Narrower bridge,,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2U=
Eyes closed,Narrower bridge,Larger mouth - open,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes closed,Narrower bridge,Larger mouth - closed,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes closed,Narrower bridge,Fuller lips - open,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes closed,Narrower bridge,Fuller lips - closed,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,Narrower bridge,Thinner lips - open,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes closed,Narrower bridge,Thinner lips - closed,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Narrower bridge,Smiling - open,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VTbWlsaW5nIC0gb3Blbg==
Eyes closed,Narrower bridge,Smiling - closed,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VTbWlsaW5nIC0gY2xvc2Vk
Eyes closed,Narrower bridge,Mouth open with teeth visible,,RXllcyBjbG9zZWROYXJyb3dlciBicmlkZ2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes closed,Broader/wider,,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVy
Eyes closed,Broader/wider,Larger mouth - open,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes closed,Broader/wider,Larger mouth - closed,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes closed,Broader/wider,Fuller lips - open,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyRnVsbGVyIGxpcHMgLSBvcGVu
Eyes closed,Broader/wider,Fuller lips - closed,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Broader/wider,Thinner lips - open,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes closed,Broader/wider,Thinner lips - closed,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes closed,Broader/wider,Smiling - open,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyU21pbGluZyAtIG9wZW4=
Eyes closed,Broader/wider,Smiling - closed,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyU21pbGluZyAtIGNsb3NlZA==
Eyes closed,Broader/wider,Mouth open with teeth visible,,RXllcyBjbG9zZWRCcm9hZGVyL3dpZGVyTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes closed,No visible nostrils,,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxz
Eyes closed,No visible nostrils,Larger mouth - open,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes closed,No visible nostrils,Larger mouth - closed,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes closed,No visible nostrils,Fuller lips - open,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
Eyes closed,No visible nostrils,Fuller lips - closed,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,No visible nostrils,Thinner lips - open,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes closed,No visible nostrils,Thinner lips - closed,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes closed,No visible nostrils,Smiling - open,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
Eyes closed,No visible nostrils,Smiling - closed,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
Eyes closed,No visible nostrils,Mouth open with teeth visible,,RXllcyBjbG9zZWRObyB2aXNpYmxlIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdCk=
