Eyes, Nose, Mouth
Eyes looking left, Smaller nostrils, Smiling
Eyes looking left, Larger nostrils, none
Eyes looking left, Larger nostrils, No mouth
Eyes looking left, Larger nostrils, Mouth open
Eyes looking left, Larger nostrils, Smiling
Eyes looking right, none, none
Eyes looking right, none, No mouth
Eyes looking right, none, Mouth open
Eyes looking right, none, Smiling
Eyes looking right, No nose, none
Eyes looking right, No nose, No mouth
Eyes looking right, No nose, Mouth open
Eyes looking right, No nose, Smiling
Eyes looking right, Square nostrils, none
Eyes looking right, Square nostrils, No mouth
Eyes looking right, Square nostrils, Mouth open
Eyes looking right, Square nostrils, Smiling
Eyes looking right, Triangular nostrils, none
Eyes looking right, Triangular nostrils, No mouth
Eyes looking right, Triangular nostrils, Mouth open
Eyes looking right, Triangular nostrils, Smiling
Eyes looking right, Rectangular nostrils, none
Eyes looking right, Rectangular nostrils, No mouth
Eyes looking right, Rectangular nostrils, Mouth open
Eyes looking right, Rectangular nostrils, Smiling
Eyes looking right, Smaller nostrils, none
Eyes looking right, Smaller nostrils, No mouth
Eyes looking right, Smaller nostrils, Mouth open
Eyes looking right, Smaller nostrils, Smiling
Eyes looking right, Larger nostrils, none
Eyes looking right, Larger nostrils, No mouth
Eyes looking right, Larger nostrils, Mouth open
Eyes looking right, Larger nostrils, Smiling
Eyes looking up, none, none
Eyes looking up, none, No mouth
Eyes looking up, none, Mouth open
Eyes looking up, none, Smiling
Eyes looking up, No nose, none
Eyes looking up, No nose, No mouth
Eyes looking up, No nose, Mouth open
Eyes looking up, No nose, Smiling
Eyes looking up, Square nostrils, none
Eyes looking up, Square nostrils, No mouth
Eyes looking up, Square nostrils, Mouth open
Eyes looking up, Square nostrils, Smiling
Eyes looking up, Triangular nostrils, none
Eyes looking up, Triangular nostrils, No mouth
Eyes looking up, Triangular nostrils, Mouth open
Eyes looking up, Triangular nostrils, Smiling
Eyes looking up, Rectangular nostrils, none
Eyes looking up, Rectangular nostrils, No mouth
Eyes looking up, Rectangular nostrils, Mouth open
Eyes looking up, Rectangular nostrils, Smiling
Eyes looking up, Smaller nostrils, none
Eyes looking up, Smaller nostrils, No mouth
Eyes looking up, Smaller nostrils, Mouth open
Eyes looking up, Smaller nostrils, Smiling
Eyes looking up, Larger nostrils, none
Eyes looking up, Larger nostrils, No mouth
Eyes looking up, Larger nostrils, Mouth open
Eyes looking up, Larger nostrils, Smiling
Eyes looking down, none, none
Eyes looking down, none, No mouth
Eyes looking down, none, Mouth open
Eyes looking down, none, Smiling
Eyes looking down, No nose, none
Eyes looking down, No nose, No mouth
Eyes looking down, No nose, Mouth open
Eyes looking down, No nose, Smiling
Eyes looking down, Square nostrils, none
Eyes looking down, Square nostrils, No mouth
Eyes looking down, Square nostrils, Mouth open
Eyes looking down, Square nostrils, Smiling
Eyes looking down, Triangular nostrils, none
Eyes looking down, Triangular nostrils, No mouth
Eyes looking down, Triangular nostrils, Mouth open
Eyes looking down, Triangular nostrils, Smiling
Eyes looking down, Rectangular nostrils, none
Eyes looking down, Rectangular nostrils, No mouth
Eyes looking down, Rectangular nostrils, Mouth open
Eyes looking down, Rectangular nostrils, Smiling
Eyes looking down, Smaller nostrils, none
Eyes looking down, Smaller nostrils, No mouth
Eyes looking down, Smaller nostrils, Mouth open
Eyes looking down, Smaller nostrils, Smiling
Eyes looking down, Larger nostrils, none
Eyes looking down, Larger nostrils, No mouth
Eyes looking down, Larger nostrils, Mouth open
Eyes looking down, Larger nostrils, Smiling
